#################################
#	File:   td_localisation.csv
#	Author: Chris Saiko
#	Desc:   Toph's Debug Localisation File
#         Windows 1252 encoding
#################################


#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#CODE;ENGLISH;;;;;;;;;;;;;x

#TITLES
td_destroy_title;(TD) Destroy Title (Safe);;;;;;;;;;;;;x
td_destroy_title_desc;Destroy §Y[Root.GetFullName]§! safely. Destroys the landed title.;;;;;;;;;;;;;x

td_unsafe_destroy_title;(TD) Destroy Title (Unsafe);;;;;;;;;;;;;x
td_unsafe_destroy_title_desc;Destroy §Y[Root.GetFullName]§! unsafely. Bypasses some error-checking, allowing to destroy landless titles.;;;;;;;;;;;;;x

td_make_independent;(TD) Make Independent;;;;;;;;;;;;;x
td_make_independent_desc;§Y[Root.Holder.GetFullName]§! becomes independent.;;;;;;;;;;;;;x

td_vassalize;(TD) Vassalize;;;;;;;;;;;;;x
td_vassalize_desc;Vassalize §Y[Root.Holder.GetFullName]§!.;;;;;;;;;;;;;x
